Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0475847148739974,0.0357095679967018,0.0200560337059205,0,0,0,1.32433618055244,0.00108529406787132,-0.000355533730225369,8.17114522823693E-07,0.000887793616740204,9.92571293802781E-07,0.00194080718355059,0,0,0,0,0,0,package://oro_new/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://oro_new/meshes/base_link.STL,,Waffle_PI-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left,-0.251310190290994,-0.205425342030346,0.349949612105679,0,0,0,2.93317977791768,0.578211586150878,-0.00060371823615542,0.0854824441641389,0.590904672553994,-0.000426721759157614,0.0306958836148462,0,0,0,0,0,0,package://oro_new/meshes/wheel_left.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://oro_new/meshes/wheel_left.STL,,Wheel-1,Origin_wheel_left_joint,Axis_wheel_left_joint,wheel_left_joint,continuous,-0.242519526797119,-0.170162162680993,-0.018480323531233,0,0.149555140664513,3.13449781269223,base_link,0,1,0,,,,,,,,,,,,
wheel_right,0.342218437086374,-0.0643684667502143,0.261740489942176,0,0,0,2.93317977791768,0.484337019358045,-0.000453529248021569,-0.223366544848544,0.590904672553994,0.00058384791649383,0.124570450407679,0,0,0,0,0,0,package://oro_new/meshes/wheel_right.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://oro_new/meshes/wheel_right.STL,,Wheel-2,Origin_wheel_right_joint,Axis_wheel_right_joint,wheel_right_joint,continuous,-0.24061,0.099625,-0.01848,0,-0.44463,-0.0070948,base_link,0,1,0,,,,,,,,,,,,
base_scan,0.326999446048758,0.0186211756030543,-0.0113153908792468,0,0,0,0.0530538307331328,2.44802060835082E-05,-3.98365719799404E-06,-8.44148861034125E-06,4.4601058988135E-05,-3.00606260010057E-06,2.93834408723212E-05,0,0,0,0,0,0,package://oro_new/meshes/base_scan.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oro_new/meshes/base_scan.STL,,Lidar Assembly-1/LDS.stp-1,Origin_base_scan_joint,,base_scan_joint,fixed,-0.293,-0.034904,0.06947,1.5708,0,-0.0070948,base_link,0,0,0,,,,,,,,,,,,
neck,0.0587444813614796,0.262222078594368,-0.459295528120781,0,0,0,1.10926755879378,0.056445797646221,2.70130921791241E-05,-1.46486179703237E-07,0.0564616651066496,1.09599149902765E-07,0.000391068857931652,0,0,0,0,0,0,package://oro_new/meshes/neck.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://oro_new/meshes/neck.STL,,Pan Assembly-1;Neck Assembly-1,Origin_neck_joint2,Axis_neck_joint,neck_joint,fixed,-0.111522868965688,-0.223111765630108,0.978912848528942,0,0,-0.00709484089756157,base_link,0,0,0,,,,,,,,,,,,
pan,0.148814365841074,0.0688778874333684,0.0481501799146573,0,0,0,0.0446711336598691,1.17132663342199E-05,-9.56493405367382E-07,1.06434285440329E-07,1.111988224285E-05,1.4857794566596E-07,7.78082427281012E-06,0,0,0,0,0,0,package://oro_new/meshes/pan.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://oro_new/meshes/pan.STL,,Tilt Assembly-1,Origin_pan_joint2,Axis_pan_joint,pan_joint,continuous,-0.0803690267279755,0.186890382040786,0.0492568279398251,0,0,-0.00757105682660417,neck,0,0,1,,,,,,,,,,,,
tilt,-0.0613908848053771,-0.16218416914339,-0.102381542144555,0,0,0,0.190333563757372,0.000291058829149478,-0.000143569690123905,2.0765847898897E-06,0.000376918038505799,-1.06012065218424E-06,0.000309930369297491,0,0,0,0,0,0,package://oro_new/meshes/tilt.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://oro_new/meshes/tilt.STL,,Head Assembly-1/FR07-H101K (1)-1;Head Assembly-1/Display Mock-1;Head Assembly-1/Head Mount-1,Origin_tilt_joint2,Axis_tilt_joint,tilt_joint,continuous,0.000250000000001249,0,0.0420800000000014,-3.12696731241166,0,-1.5707963267949,pan,1,0,0,,,,,,,,,,,,
depth_cam,-0.157044558146606,0.173807894528382,-0.150114546115025,0,0,0,0.153126622909889,0.000147114581762331,-2.46612538738801E-06,-0.000168515913728417,0.000377900331187149,-1.84448489390364E-06,0.000251695855150495,0,0,0,0,0,0,package://oro_new/meshes/depth_cam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oro_new/meshes/depth_cam.STL,,Head Assembly-1/ZED-1,Origin_depth_cam_joint2,Axis_depth_cam_joint2,depth_cam_joint,fixed,0.0874623622012928,0,0,-1.57079632679489,0,0,tilt,0,0,0,,,,,,,,,,,,
