Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0565332553903245,-0.01818707363211,-0.000350515629258258,0,0,0,1.32433600289922,0.00135553657024013,-5.02179862659454E-08,-1.92790642264766E-07,0.00194080698723538,-1.28466065345713E-06,0.000617550917743685,0,0,0,0,0,0,package://oro_new_origin/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://oro_new_origin/meshes/base_link.STL,,Waffle_PI-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left,-0.191373146208563,0.191627979962553,-0.0102248565002972,0,0,0,2.93317977791768,0.591677105407078,0.00508189072575185,0.000218459631374334,0.0177051658578186,0.000417347096482886,0.590430124482806,0,0,0,0,0,0,package://oro_new_origin/meshes/wheel_left.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://oro_new_origin/meshes/wheel_left.STL,,Wheel-1,Origin_wheel_left_joint,Axis_wheel_left_joint,wheel_left_joint,continuous,-0.242519526797119,-0.170162162680993,-0.018480323531233,0,0.149555140664513,3.13449781269223,base_link,0,1,0,,,,,,,,,,,,
wheel_right,0.180128460968119,-0.461421788743113,-0.065436735321014,0,0,0,2.93317977791768,0.591450075310868,0.00474088100537843,-0.000528473410083437,0.0177051658578186,-0.00187718918606179,0.590657154579016,0,0,0,0,0,0,package://oro_new_origin/meshes/wheel_right.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://oro_new_origin/meshes/wheel_right.STL,,Wheel-2,Origin_wheel_right_joint,Axis_wheel_right_joint,wheel_right_joint,continuous,-0.24060539870727,0.0996248558539564,-0.018480323531233,0,-0.444631589877229,-0.00709484089756432,base_link,0,1,0,,,,,,,,,,,,
base_scan,0.339117296317171,-0.0694870732556561,0.0489134189395805,0,0,0,0.0530538694104073,1.80721201932064E-05,2.63817129316487E-08,-4.80233485928702E-06,3.5722095781217E-05,1.90623882780558E-08,4.46705826810891E-05,0,0,0,0,0,0,package://oro_new_origin/meshes/base_scan.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oro_new_origin/meshes/base_scan.STL,,Lidar Assembly-1/LDS.stp-1,Origin_base_scan_joint,Axis_base_scan_joint,base_scan_joint,fixed,-0.29299616822181,-0.034903733333453,0.069469676468767,1.5707963267949,0,-0.00709484089756434,base_link,0,0,0,,,,,,,,,,,,
neck,0.052622236352891,-0.294270662722272,-0.978909826024226,0,0,0,1.10926754952808,0.0564227541638391,0.000397725514912617,-9.04251073112561E-10,0.000393891974635777,3.53923737916946E-11,0.0564818854150741,0,0,0,0,0,0,package://oro_new_origin/meshes/neck.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://oro_new_origin/meshes/neck.STL,,Pan Assembly-1;Neck Assembly-1,Origin_neck_joint2,Axis_neck_joint,neck_joint,fixed,-0.111522868965688,-0.223111765630108,0.978912848528942,0,0,-0.00709484089756157,base_link,0,0,0,,,,,,,,,,,,
pan,0.15751717603195,-1.03659644168177,-1.02811349063567,0,0,0,0.0446711229185333,1.241695503459E-05,7.04455595291662E-08,2.67966548083652E-09,7.78189155207254E-06,-1.82730204528818E-07,1.04151202907412E-05,0,0,0,0,0,0,package://oro_new_origin/meshes/pan.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://oro_new_origin/meshes/pan.STL,,Tilt Assembly-1,Origin_pan_joint2,Axis_pan_joint,pan_joint,continuous,-0.0803690267279755,0.186890382040786,0.0492568279398251,0,0,-0.00757105682660417,neck,0,0,1,,,,,,,,,,,,
tilt,1.13505010487561,-0.157246322316439,1.0714547106689,0,0,0,0.190333592269604,0.000309952592690081,2.6016464347998E-06,5.81043779152446E-09,0.000483708672807067,-5.91087992609485E-06,0.000184246016919108,0,0,0,0,0,0,package://oro_new_origin/meshes/tilt.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://oro_new_origin/meshes/tilt.STL,,Head Assembly-1/FR07-H101K (1)-1;Head Assembly-1/Display Mock-1;Head Assembly-1/Head Mount-1,Origin_tilt_joint2,Axis_tilt_joint,tilt_joint,continuous,0.000250000000001249,0,0.0420800000000014,-3.12696731241166,0,-1.5707963267949,pan,1,0,0,,,,,,,,,,,,
depth_cam,1.11904835568739,-1.07242829067043,-0.142861258716231,0,0,0,0.153126621719674,0.000377926901789772,-4.10910927962612E-10,-2.82294853200096E-08,2.30115750503474E-05,5.16071759213032E-06,0.000375772291042933,0,0,0,0,0,0,package://oro_new_origin/meshes/depth_cam.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://oro_new_origin/meshes/depth_cam.STL,,Head Assembly-1/ZED-1,Origin_depth_cam_joint2,Axis_depth_cam_joint2,depth_cam_joint,fixed,0.0874623622012928,0,0,-1.57079632679489,0,0,tilt,0,0,0,,,,,,,,,,,,
